Name,Email,Phone,Lapse_Propensity,Customer_Lifetime_Value,Call_Agent,Discount_Eligibility,Age,Tenure,Family_Status,Annual_Premium,Month_1_Free_Propensity,Month_2_Free_Propensity,Month_3_Free_Propensity,CustomerID
Nicole Davis,eelliott@example.com,739.684.1077x85050,0.82,4573.33,Nicole Davis,eligible,64,10,Couple,2190.05,0.1,0.18,0.19,40
Melissa Dougherty,cynthianelson@example.org,+1-082-058-3916,0.46,10687.13,Melissa Dougherty,eligible,43,17,Couple,7184.73,0.83,0.97,0.59,41
Dr. Richard Holloway II,josecooper@example.com,(249)666-5761,0.53,2623.82,Dr. Richard Holloway II,eligible,42,6,Couple,4585.92,0.25,0.16,0.33,42
Stephanie Mueller,tayloryoung@example.org,001-938-777-4123x993,0.21,5680.57,Stephanie Mueller,not eligible,45,9,Family,1941.43,0.65,0.81,0.82,43
Jason Mendoza,hlane@example.com,885.201.9027x4358,0.45,32422.26,Jason Mendoza,eligible,64,20,Couple,9226.01,0.56,0.64,0.89,44
Melissa Webster,danielpage@example.com,878-672-7600,0.23,25073.01,Melissa Webster,eligible,66,14,Family,6832.86,0.57,0.94,0.86,45
Taylor Hall,collinsstephanie@example.net,(398)470-7576,0.1,18034.63,Taylor Hall,eligible,47,11,Couple,4175.78,0.81,0.54,0.55,46
Christopher Crane,mooremary@example.com,001-891-690-0962x6020,0.59,31465.12,Christopher Crane,eligible,50,5,Family with Multiple Children,6960.02,0.22,0.03,0.32,47
Laura Perez,lisahayes@example.net,812-314-9934,0.59,22209.74,Laura Perez,eligible,52,3,Single,6681.06,0.04,0.2,0.13,48
Michael Thomas,sethcamacho@example.org,065-166-3059,0.0,21353.98,Michael Thomas,eligible,50,7,Family,9173.16,0.79,0.66,0.57,49
Mark Mccarthy,twhite@example.com,001-145-022-3920x668,0.62,-2388.24,Mark Mccarthy,eligible,67,9,Family,9572.58,0.29,0.01,0.05,50
