Outcome: eligible, Registration ID 1, Username: username, Time: 2024-02-12 15:39:09.608725
Outcome: eligible, Registration ID 1, Username: username, Time: 2024-02-13 16:20:43.309573
Outcome: eligible, Registration ID 1, Username: username, Time: 2024-02-14 08:22:40.344669
Outcome: eligible, Registration ID 1, Username: username, Time: 2024-02-14 09:13:05.421918
Outcome: eligible, Registration ID 1, Username: username, Time: 2024-02-14 13:25:46.355974
Outcome: eligible, Registration ID 1, Username: test123, Time: 2024-02-19 07:24:13.945924
Outcome: eligible, Registration ID 1, Username: test123, Time: 2024-02-19 10:39:16.798067
Outcome: not eligible, Registration ID 26, Username: test123, Time: 2024-02-19 10:39:44.394329
Outcome: not found, Registration ID 1000, Username: test123, Time: 2024-02-19 10:39:51.127218
Outcome: eligible, Registration ID 2, Username: test123, Time: 2024-02-19 10:40:08.357364
Outcome: eligible, Registration ID 2, Username: test123, Time: 2024-02-22 17:39:24.869174
Outcome: eligible, Registration ID 1, Username: test123, Time: 2024-02-22 17:39:29.945249
Outcome: not eligible, Registration ID 3, Username: test123, Time: 2024-02-22 17:39:32.535055
Outcome: eligible, Registration ID 1, Username: test123, Time: 2024-02-22 17:46:26.331902
Outcome: eligible, Registration ID 1, Username: test123, Time: 2024-02-22 18:00:27.798268
Outcome: eligible, Registration ID 1, Username: test123, Time: 2024-02-22 18:13:38.799278
Outcome: eligible, Registration ID 1, Username: test123, Time: 2024-02-22 18:14:58.330775
Outcome: eligible, Registration ID 1, Username: test123, Time: 2024-02-22 18:15:16.699928
Outcome: eligible, Registration ID 2, Username: test123, Time: 2024-02-22 18:15:18.826642
Outcome: eligible, Registration ID 1, Username: test123, Time: 2024-02-22 18:15:34.803243
Outcome: eligible, Registration ID 1, Username: test123, Time: 2024-02-22 18:17:41.555765
Outcome: eligible, Registration ID 1, Username: test123, Time: 2024-02-22 18:18:14.767899
Outcome: eligible, Registration ID 2, Username: test123, Time: 2024-02-22 18:18:16.661751
Outcome: eligible, Registration ID 2, Username: test123, Time: 2024-02-22 18:18:17.046530
Outcome: not eligible, Registration ID 3, Username: test123, Time: 2024-02-22 18:18:19.830602
Outcome: eligible, Registration ID 1, Username: test123, Time: 2024-02-22 18:22:21.555438
Outcome: eligible, Registration ID 2, Username: test123, Time: 2024-02-22 18:22:23.683808
Outcome: eligible, Registration ID 1, Username: test123, Time: 2024-02-22 18:28:15.510100
Outcome: eligible, Registration ID 1, Username: test123, Time: 2024-02-22 18:30:14.773918
Outcome: eligible, Registration ID 1, Username: test123, Time: 2024-02-22 18:30:23.291608
Outcome: eligible, Registration ID 1, Username: test123, Time: 2024-02-22 18:32:14.652880
Outcome: eligible, Registration ID 1, Username: test123, Time: 2024-02-22 18:32:28.570296
Outcome: eligible, Registration ID 1, Username: test123, Time: 2024-02-22 18:34:36.067375
Outcome: eligible, Registration ID 1, Username: test123, Time: 2024-02-22 18:35:22.169048
Outcome: eligible, Registration ID 1, Username: test123, Time: 2024-02-22 21:18:38.576082
Outcome: eligible, Registration ID 2, Username: test123, Time: 2024-02-22 21:19:39.626328
Outcome: not found, Registration ID 1000, Username: test123, Time: 2024-02-22 21:20:14.635317
Outcome: not found, Registration ID 100, Username: test123, Time: 2024-02-22 21:22:23.989788
Outcome: eligible, Registration ID 1, Username: test123, Time: 2024-02-22 21:22:27.164428
Outcome: not found, Registration ID 1000, Username: test123, Time: 2024-02-22 21:22:33.315633
Outcome: eligible, Registration ID 1, Username: test123, Time: 2024-02-22 21:24:00.138043
Outcome: eligible, Registration ID 1, Username: test123, Time: 2024-02-22 21:24:46.813620
Outcome: not found, Registration ID 1000, Username: test123, Time: 2024-02-22 21:24:51.855923
Outcome: eligible, Registration ID 1, Username: test123, Time: 2024-02-22 21:26:06.491092
Outcome: not found, Registration ID 1000, Username: test123, Time: 2024-02-22 21:26:10.212702
Outcome: not found, Registration ID 1000, Username: test123, Time: 2024-02-22 21:29:15.405685
Outcome: eligible, Registration ID 1, Username: test123, Time: 2024-02-22 21:29:18.489935
Outcome: eligible, Registration ID 1, Username: test123, Time: 2024-02-22 21:30:16.691219
Outcome: eligible, Registration ID 1, Username: test123, Time: 2024-02-22 21:33:06.557162
Outcome: eligible, Registration ID 1, Username: test123, Time: 2024-02-22 21:35:53.289092
Outcome: eligible, Registration ID 1, Username: test123, Time: 2024-02-22 21:37:32.760088
Outcome: eligible, Registration ID 1, Username: test123, Time: 2024-02-22 21:38:00.782391
Outcome: eligible, Registration ID 1, Username: test123, Time: 2024-02-22 21:40:12.304257
Outcome: eligible, Registration ID 1, Username: test123, Time: 2024-02-22 21:40:28.498938
Outcome: not found, Registration ID 1000, Username: test123, Time: 2024-02-22 21:41:15.194408
Outcome: not found, Registration ID 1000, Username: test123, Time: 2024-02-22 21:41:18.682020
Outcome: not found, Registration ID 999, Username: test123, Time: 2024-02-22 21:41:21.765075
Outcome: eligible, Registration ID 12, Username: test123, Time: 2024-02-22 21:41:24.106032
Outcome: eligible, Registration ID 1, Username: test123, Time: 2024-02-22 21:42:02.364581
Outcome: eligible, Registration ID 1, Username: test123, Time: 2024-02-22 21:45:25.586769
Outcome: eligible, Registration ID 1, Username: test123, Time: 2024-02-22 21:45:37.719519
Outcome: eligible, Registration ID 1, Username: test123, Time: 2024-02-23 08:51:29.413185
Outcome: eligible, Registration ID 1, Username: test123, Time: 2024-02-23 09:01:41.162825
Outcome: eligible, Registration ID 1, Username: test123, Time: 2024-02-23 09:11:21.432821
Outcome: eligible, Registration ID 1, Username: test123, Time: 2024-02-23 09:18:02.207709
Outcome: eligible, Registration ID 1, Username: test123, Time: 2024-02-23 09:25:34.511563
Outcome: eligible, Registration ID 1, Username: test123, Time: 2024-02-23 09:28:09.831940
Outcome: not found, Registration ID 100, Username: test123, Time: 2024-02-23 10:01:31.864407
Outcome: eligible, Registration ID 1, Username: test123, Time: 2024-02-23 10:01:34.621974
Outcome: eligible, Registration ID 1, Username: test123, Time: 2024-02-23 10:04:49.043676
Outcome: eligible, Registration ID 1, Username: test123, Time: 2024-02-23 10:09:13.084001
Outcome: eligible, Registration ID 1, Username: test123, Time: 2024-02-23 10:18:43.065570
Outcome: eligible, Registration ID 1, Username: test123, Time: 2024-02-23 10:19:15.809985
Outcome: eligible, Registration ID 1, Username: test123, Time: 2024-02-23 11:36:39.155904
Outcome: eligible, Registration ID 1, Username: test123, Time: 2024-02-23 11:46:40.422755
Outcome: eligible, Registration ID 1, Username: test123, Time: 2024-02-23 11:48:30.223054
Outcome: eligible, Registration ID 1, Username: test123, Time: 2024-02-23 11:48:44.163592
Outcome: eligible, Registration ID 1, Username: test123, Time: 2024-02-23 11:49:28.702947
Outcome: eligible, Registration ID 2, Username: test123, Time: 2024-02-23 11:49:44.378631
Outcome: not eligible, Registration ID 6, Username: test123, Time: 2024-02-23 11:49:46.964485
Outcome: not found, Registration ID 100, Username: test123, Time: 2024-02-23 11:49:50.752475
Outcome: eligible, Registration ID 23, Username: test123, Time: 2024-02-23 11:50:12.611267
Outcome: eligible, Registration ID 1, Username: test123, Time: 2024-02-23 11:55:06.344860
Outcome: eligible, Registration ID 1, Username: test123, Time: 2024-02-23 11:57:25.712264
Outcome: not eligible, Registration ID 11, Username: test123, Time: 2024-02-23 11:57:27.764732
Outcome: eligible, Registration ID 1, Username: test123, Time: 2024-02-23 11:57:31.971038
Outcome: not found, Registration ID 100, Username: test123, Time: 2024-02-23 11:57:46.135291
Outcome: eligible, Registration ID 1, Username: test123, Time: 2024-02-23 11:57:51.617367
Outcome: eligible, Registration ID 1, Username: test123, Time: 2024-02-23 11:58:31.360518
Outcome: eligible, Registration ID 2, Username: test123, Time: 2024-02-23 11:58:47.899490
Outcome: eligible, Registration ID 2, Username: test123, Time: 2024-02-23 11:58:52.325745
Outcome: eligible, Registration ID 1, Username: test123, Time: 2024-02-23 11:59:04.464217
Outcome: not found, Registration ID 400, Username: test123, Time: 2024-02-23 12:00:50.008651
Outcome: eligible, Registration ID 1, Username: test123, Time: 2024-02-23 12:00:53.394322
Outcome: eligible, Registration ID 1, Username: test123, Time: 2024-02-23 12:03:24.329641
Outcome: eligible, Registration ID 1, Username: test123, Time: 2024-02-23 12:07:56.475643
Outcome: eligible, Registration ID 1, Username: test123, Time: 2024-02-23 12:09:20.964517
Outcome: eligible, Registration ID 1, Username: test123, Time: 2024-02-23 12:38:34.168427
Outcome: eligible, Registration ID 1, Username: test123, Time: 2024-02-23 12:41:45.262296
Outcome: eligible, Registration ID 1, Username: test123, Time: 2024-02-23 12:44:38.078375
Outcome: not found, Registration ID 52, Username: test123, Time: 2024-02-23 12:45:17.458757
Outcome: eligible, Registration ID 30, Username: test123, Time: 2024-02-23 12:45:20.394615
Outcome: eligible, Registration ID 1, Username: test123, Time: 2024-02-23 12:52:13.676310
Outcome: eligible, Registration ID 1, Username: test123, Time: 2024-02-23 12:54:59.537307
Outcome: eligible, Registration ID 1, Username: test123, Time: 2024-02-23 12:58:24.411226
Outcome: eligible, Registration ID 1, Username: test123, Time: 2024-02-23 13:00:25.680898
Outcome: not eligible, Registration ID 5, Username: test123, Time: 2024-02-23 13:01:23.367829
Outcome: eligible, Registration ID 1, Username: test123, Time: 2024-02-23 13:01:29.372675
Outcome: eligible, Registration ID 1, Username: test123, Time: 2024-02-23 13:01:52.881675
Outcome: eligible, Registration ID 1, Username: test123, Time: 2024-02-23 13:33:30.160790
Outcome: eligible, Registration ID 2, Username: test123, Time: 2024-02-23 13:35:44.218076
Outcome: eligible, Registration ID 1, Username: test123, Time: 2024-02-23 13:38:27.309706
Outcome: eligible, Registration ID 1, Username: test123, Time: 2024-02-23 14:37:57.469997
Outcome: not found, Registration ID , Username: test123, Time: 2024-02-23 15:04:18.367775
Outcome: eligible, Registration ID 2, Username: test123, Time: 2024-02-23 15:04:21.882143
Outcome: eligible, Registration ID 1, Username: test123, Time: 2024-02-23 15:04:38.955094
Outcome: eligible, Registration ID 2, Username: test123, Time: 2024-02-23 15:04:43.441027
Outcome: eligible, Registration ID 1, Username: test123, Time: 2024-02-23 15:17:20.427311
